ID,Scientific Name,Common Name,Common Name (Malay),Poisoning Action,Poisoning Action (Malay),Symptoms,Symptoms (Malay),Image Folder
1,Abrus precatorius,Rosary Pea,Kacang Gun / Biji Saga,Ingestion (seeds),Tertelan (biji),"Severe GI distress, vomiting, organ failure (Abrin poisoning)","Gangguan perut teruk, muntah, kegagalan organ (keracunan Abrin)",dataset/toxic_plants/abrus_precatorius
2,Acalypha indica,Indian Copperleaf,Pokok Kucing Galak / Acalypha,Ingestion; Contact,Tertelan; Sentuhan,"Vomiting, diarrhea; dermatitis in sensitive individuals","Muntah, cirit-birit; radang kulit pada individu sensitif",dataset/toxic_plants/acalypha_indica
3,Adenium obesum,Desert Rose,Kemboja Cina,Ingestion; Contact,Tertelan; Sentuhan,"Cardiotoxicity (slow heart rate), vomiting, skin irritation","Kardiotoksisiti (jantung perlahan), muntah, iritasi kulit",dataset/toxic_plants/adenium_obesum
4,Aloe vera,Aloe Vera,Lidah Buaya,Ingestion (latex),Tertelan (getah),"Diarrhea, kidney issues (if latex consumed in large amounts)","Cirit-birit, masalah buah pinggang (jika getah dimakan banyak)",dataset/toxic_plants/aloe_vera
5,Poisonous American Mushrooms,Wild Toxic Mushrooms,Cendawan Liar Beracun,Ingestion,Tertelan,"Varies: Liver failure, hallucinations, GI distress","Pelbagai: Kegagalan hati, halusinasi, gangguan perut",dataset/toxic_plants/poisonous_american_mushrooms
6,Anacardium occidentale,Cashew Tree,Pokok Gajus,Contact (raw shell oil),Sentuhan (minyak kulit mentah),"Severe skin blistering, allergic dermatitis (Urushiol)","Kulit melepuh teruk, dermatitis alahan (Urushiol)",dataset/toxic_plants/anacardium_occidentale
7,Annona muricata,Soursop,Durian Belanda,Ingestion (seeds/roots),Tertelan (biji/akar),"Neurotoxicity, movement disorders (if consumed in excess)","Neurotoksisiti, gangguan pergerakan (jika dimakan berlebihan)",dataset/toxic_plants/annona_muricata
8,Annona squamosa,Sugar Apple,Buah Nona,Ingestion (seeds); Contact,Tertelan (biji); Sentuhan,"Toxic seeds, severe eye irritation if rubbed","Biji beracun, iritasi mata teruk jika digosok",dataset/toxic_plants/annona_squamosa
9,Aristolochia tagala,Dutchman's Pipe,Akar Ketola Hutan,Ingestion,Tertelan,"Kidney failure, carcinogenic (Aristolochic acid)","Kegagalan buah pinggang, karsinogenik (Asid Aristolochic)",dataset/toxic_plants/aristolochia_tagala
10,Ayushvision flowers,Generic Flowers,Bunga Umum,Unknown,Tidak Diketahui,Identification required (Generic Entry),Pengenalan diperlukan (Entri Umum),dataset/toxic_plants/ayushvision_flowers
11,Caladium bicolor,Heart of Jesus,Keladi Hiasan / Keladi Cat,Ingestion; Contact,Tertelan; Sentuhan,"Swelling of mouth/throat, difficulty breathing (Calcium Oxalate)","Bengkak mulut/tekak, sukar bernafas (Kalsium Oksalat)",dataset/toxic_plants/caladium_bicolor
12,Cerbera odollam,Pong Pong Tree,Pokok Pong-pong / Buta-buta,Ingestion,Tertelan,"Cardiotoxicity, disrupted heart rhythm, fatal if untreated","Kardiotoksisiti, degupan jantung terganggu, maut jika tidak dirawat",dataset/toxic_plants/cerbera_odollam
13,Clerodendrum inerme,Seaside Clerodendrum,Pokok Gambir Laut,Ingestion,Tertelan,"GI upset, nausea, vomiting","Gangguan perut, loya, muntah",dataset/toxic_plants/clerodendrum_inerme
14,Croton tiglium,Purging Croton,Pokok Cenerai,Ingestion; Contact,Tertelan; Sentuhan,"Severe vomiting, diarrhea; oil causes skin blistering","Muntah teruk, cirit-birit; minyak menyebabkan kulit melepuh",dataset/toxic_plants/croton_tiglium
